ratio,angle_index,design,n,runs,identifiable_runs,identifiable_rate,condition_median,condition_p90,hessian_relative_error_median,hessian_relative_error_p90,hessian_relative_error_max,magnitude_relative_error_median,magnitude_relative_error_p90,magnitude_relative_error_max,spectrum_l1_error_median,spectrum_l1_error_p90,spectrum_l1_error_max,log_condition_error_median,log_condition_error_p90,log_condition_error_max,pairwise_order_accuracy_median,pairwise_order_accuracy_p90,pairwise_order_accuracy_max,tie_fraction_median,tie_fraction_p90,tie_fraction_max
1,1,uniform,3,50,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,1,uniform,5,50,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,1,uniform,6,50,50,1.0,89.69147405205004,516.2330497210919,2.4854033800745023e-15,9.21937175926717e-15,4.5383943206172636e-14,1.1775693440128313e-15,5.134202339895945e-15,3.642614504146358e-14,2.1649348980190553e-15,6.694644838489703e-15,2.8477220581635265e-14,4.329869796038101e-15,1.3500311979441824e-14,5.706546346573142e-14,1.0,1.0,1.0,0.0,0.0,0.0
1,1,uniform,8,50,50,1.0,25.444500578442742,77.2622875291195,1.1713116855218265e-15,3.1415450852372188e-15,6.4256436588872456e-15,6.2803698347351e-16,1.88411095042053e-15,3.2971941632359274e-15,7.216449660063518e-16,2.4480417692984703e-15,6.494804694057166e-15,1.4432899320127025e-15,4.90718576884318e-15,1.3100631690576762e-14,1.0,1.0,1.0,0.0,0.0,0.0
1,1,uniform,12,50,50,1.0,14.684818357337516,24.023175428336124,6.640445014419013e-16,1.5472481794340548e-15,5.312342622447263e-15,3.14018491736755e-16,8.007471539287255e-16,1.4130832128153975e-15,4.440892098500626e-16,1.315614284180811e-15,5.162537064506978e-15,8.881784197001248e-16,2.731148640577882e-15,1.0436096431476416e-14,1.0,1.0,1.0,0.0,0.0,0.0
1,1,uniform,20,50,50,1.0,10.367201212436878,14.125902743075471,4.452942618854062e-16,1.9762862221761015e-15,5.62889741512714e-15,3.14018491736755e-16,6.43737908060348e-16,1.25607396694702e-15,3.0531133177191805e-16,2.0039525594484076e-15,5.440092820663267e-15,6.661338147750937e-16,4.019007349143059e-15,1.0880185641326474e-14,1.0,1.0,1.0,0.0,0.0,0.0
1,2,sobol,3,50,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,2,sobol,5,50,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,2,sobol,6,50,50,1.0,25.86822123660877,276.4990269357251,9.893757986898506e-16,9.165918763229393e-15,2.3352486284442568e-14,6.280369834735099e-16,2.8889701239781463e-15,1.978316497941556e-14,6.661338147750939e-16,8.792966355031242e-15,1.3988810110276972e-14,1.332267629550187e-15,1.7585932710062326e-14,2.7977620220553554e-14,1.0,1.0,1.0,0.0,0.0,0.0
1,2,sobol,8,50,50,1.0,14.065007623800877,26.994257403206312,6.411735497238948e-16,1.231119492932852e-15,5.476253004873675e-15,3.1401849173675493e-16,1.1147656456654803e-15,1.8841109504205295e-15,3.608224830031759e-16,7.827072323607354e-16,5.329070518200751e-15,6.661338147750937e-16,1.554312234475218e-15,1.0658141036401446e-14,1.0,1.0,1.0,0.0,0.0,0.0
