ratio,angle,angle_index,design,n,seed,paired_seed,identifiable,abstain_reason,rank,condition_number,minimum_singular_value,maximum_singular_value,hessian_relative_error,magnitude_relative_error,spectrum_l1_error,log_condition_error,pairwise_order_accuracy,tie_fraction,estimated_magnitude,estimated_major_spectrum_share
1,0.0,0,sobol,6,40,100040,1,,6,598.9270448651686,0.00423604662743372,2.5370828884799415,1.581824321392201e-15,3.14018491736755e-16,1.6653345369377348e-15,3.330669073875464e-15,1.0,0.0,1.0000000000000002,0.5000000000000008
1,0.0,0,sobol,6,41,100041,1,,6,37.60365068752652,0.06787602450961347,2.5523863157174933,2.7566191591466308e-15,2.0411201962889075e-15,1.942890293094024e-15,3.996802888650556e-15,1.0,0.0,0.999999999999998,0.500000000000001
1,0.0,0,sobol,6,42,100042,1,,6,59.97160622313376,0.041758820187806,2.50434352064575,9.42055475210265e-16,0.0,8.881784197001252e-16,1.7763568394002489e-15,1.0,0.0,1.0,0.5000000000000004
1,0.0,0,sobol,6,43,100043,1,,6,17.35770570826544,0.14491740370240289,2.5154336454722057,4.839349969133126e-16,3.14018491736755e-16,5.551115123125783e-16,1.110223024625156e-15,1.0,0.0,1.0000000000000002,0.5000000000000002
1,0.0,0,sobol,6,44,100044,1,,6,16.96748600176413,0.1520284613490274,2.579540789809361,1.067146839060198e-15,0.0,1.0547118733938987e-15,2.2204460492503107e-15,1.0,0.0,1.0,0.5000000000000006
1,0.0,0,sobol,6,45,100045,1,,6,13.420653472975738,0.1881105164491214,2.524566055886161,6.661338147750938e-16,3.14018491736755e-16,4.440892098500626e-16,8.881784197001248e-16,1.0,0.0,1.0000000000000002,0.5000000000000002
1,0.0,0,sobol,6,46,100046,1,,6,82.69792870225969,0.031806587317416916,2.630338890237941,3.420135685938544e-15,0.0,3.3306690738754696e-15,6.661338147750917e-15,1.0,0.0,1.0,0.5000000000000017
1,0.0,0,sobol,6,47,100047,1,,6,11.093725837416336,0.2288763119717095,2.5390910556931154,8.102774327609084e-16,3.14018491736755e-16,6.661338147750939e-16,1.332267629550187e-15,1.0,0.0,1.0000000000000002,0.5000000000000003
1,0.0,0,sobol,6,48,100048,1,,6,414.35580470481415,0.006253202556502321,2.5910507772817204,1.4571016336180838e-15,1.0990647210786425e-15,9.992007221626409e-16,1.9984014443252798e-15,1.0,0.0,1.000000000000001,0.5000000000000004
1,0.0,0,sobol,6,49,100049,1,,6,65.91055365100432,0.03815754582728664,2.5149849714400325,1.434791454377784e-15,1.4130832128153975e-15,4.440892098500626e-16,8.881784197001248e-16,1.0,0.0,0.9999999999999986,0.5000000000000002
1,0.0,0,sobol,8,0,100000,1,,6,90.97320224244442,0.03187480595438775,2.8997531685271882,1.4529321429587995e-15,7.850462293418875e-16,1.27675647831893e-15,2.4424906541753412e-15,1.0,0.0,0.9999999999999992,0.5000000000000007
1,0.0,0,sobol,8,1,100001,1,,6,10.287880863438074,0.2834583073942077,2.9161852962234165,9.529688534254171e-15,3.14018491736755e-16,9.547918011776346e-15,1.909583602355251e-14,1.0,0.0,0.9999999999999997,0.5000000000000048
