relative_se,spectrum_width,spd_probability,drift,coverage,risk,risk_ucb95,selected_seed_clusters
0.2,0.5,0.95,0.05,0.0027380952380952383,0.043478260869565216,0.1111111111111111,26
0.2,0.5,0.95,0.1,0.018214285714285714,0.11764705882352941,0.15257756158946809,48
0.2,0.5,0.95,0.2,0.06801587301587302,0.2864644107351225,0.31451350136857525,50
0.2,0.5,0.95,0.3,0.11138888888888888,0.4916280726754542,0.5141683651323616,50
0.2,0.5,0.95,0.5,0.16194444444444445,0.6415094339622641,0.6600109983843826,50
0.3,0.1,0.8,0.1,0.002341269841269841,0.06779661016949153,0.17647058823529413,22
0.3,0.1,0.8,0.2,0.008214285714285714,0.09178743961352658,0.1418946301925025,39
0.3,0.1,0.8,0.3,0.010515873015873017,0.20754716981132076,0.27626954368588613,41
0.3,0.1,0.8,0.5,0.01265873015873016,0.34169278996865204,0.42293250228032836,44
0.3,0.1,0.9,0.1,0.0023015873015873015,0.06896551724137931,0.1774193548387097,22
0.3,0.1,0.9,0.2,0.008095238095238095,0.09313725490196079,0.14184636764424,39
0.3,0.1,0.9,0.3,0.010396825396825397,0.2099236641221374,0.27734642551369865,41
0.3,0.1,0.9,0.5,0.01253968253968254,0.3449367088607595,0.423605640295005,44
0.3,0.1,0.95,0.1,0.0023015873015873015,0.06896551724137931,0.16981132075471697,22
0.3,0.1,0.95,0.2,0.008055555555555555,0.08866995073891626,0.1380983709273183,39
0.3,0.1,0.95,0.3,0.010317460317460317,0.20384615384615384,0.27028616852146264,41
0.3,0.1,0.95,0.5,0.01246031746031746,0.34076433121019106,0.4233128834355828,44
0.3,0.2,0.8,0.05,0.0013492063492063493,0.058823529411764705,0.14285714285714285,18
0.3,0.2,0.8,0.1,0.010317460317460317,0.1076923076923077,0.15455627705627703,41
0.3,0.2,0.8,0.2,0.034761904761904765,0.22146118721461186,0.2604893643163674,49
0.3,0.2,0.8,0.3,0.05265873015873016,0.3896006028636021,0.4222423176853866,50
0.3,0.2,0.8,0.5,0.07055555555555555,0.532058492688414,0.5687254139100147,50
0.3,0.2,0.9,0.05,0.0013492063492063493,0.058823529411764705,0.14814814814814814,18
0.3,0.2,0.9,0.1,0.01003968253968254,0.11067193675889328,0.16171418726849857,41
0.3,0.2,0.9,0.2,0.03388888888888889,0.2224824355971897,0.25768029408893806,49
0.3,0.2,0.9,0.3,0.05130952380952381,0.3905645784996133,0.42426823650634904,50
0.3,0.2,0.9,0.5,0.06873015873015872,0.5323325635103926,0.5675077599622269,50
0.3,0.2,0.95,0.05,0.0013492063492063493,0.058823529411764705,0.14285714285714285,18
0.3,0.2,0.95,0.1,0.009880952380952381,0.11244979919678715,0.16217905405405406,41
0.3,0.2,0.95,0.2,0.03297619047619048,0.2226233453670277,0.25921872333162654,49
0.3,0.2,0.95,0.3,0.049523809523809526,0.391025641025641,0.42720678704355347,50
0.3,0.2,0.95,0.5,0.06678571428571428,0.5353535353535354,0.57059557803704,50
