relative_se,spectrum_width,spd_probability,drift,coverage,risk,risk_ucb95,selected_seed_clusters
0.1,0.3,0.9,0.05,0.0031746031746031746,0.0875,0.16666666666666666,31
0.1,0.3,0.9,0.1,0.020873015873015873,0.06273764258555133,0.08853376162486731,48
0.1,0.3,0.9,0.2,0.06444444444444444,0.16933497536945813,0.20115884365509554,50
0.1,0.3,0.9,0.3,0.09952380952380953,0.3189792663476874,0.3525433300743192,50
0.1,0.3,0.9,0.5,0.13956349206349206,0.464884845038385,0.4896266337097211,50
0.1,0.3,0.95,0.05,0.0031746031746031746,0.0875,0.16666666666666666,31
0.1,0.3,0.95,0.1,0.02023809523809524,0.06470588235294118,0.091955147670783,48
0.1,0.3,0.95,0.2,0.06305555555555556,0.17180616740088106,0.20363731307856633,50
0.1,0.3,0.95,0.3,0.09734126984126984,0.3232776192417448,0.3570566773083461,50
0.1,0.3,0.95,0.5,0.13634920634920636,0.4688591385331781,0.49429415707759206,50
0.1,0.5,0.8,0.05,0.003611111111111111,0.07692307692307693,0.14457831325301204,35
0.1,0.5,0.8,0.1,0.02396825396825397,0.06622516556291391,0.08889988998899889,49
0.1,0.5,0.8,0.2,0.07567460317460317,0.1772417409543786,0.20601309667257867,50
0.1,0.5,0.8,0.3,0.1182936507936508,0.33076148943307615,0.36071450568448504,50
0.1,0.5,0.8,0.5,0.16817460317460317,0.4811231713072204,0.504572595139654,50
0.1,0.5,0.9,0.05,0.003373015873015873,0.08235294117647059,0.15789473684210525,32
0.1,0.5,0.9,0.1,0.0223015873015873,0.06761565836298933,0.09234148365720658,48
0.1,0.5,0.9,0.2,0.07182539682539682,0.18011049723756906,0.2102030139930591,50
0.1,0.5,0.9,0.3,0.11273809523809523,0.34037310806054205,0.37152288862826444,50
0.1,0.5,0.9,0.5,0.16047619047619047,0.49060336300692386,0.5154958066985986,50
0.1,0.5,0.95,0.05,0.003373015873015873,0.08235294117647059,0.1505449992635145,32
0.1,0.5,0.95,0.1,0.021666666666666667,0.0695970695970696,0.09507269086793767,48
0.1,0.5,0.95,0.2,0.0701984126984127,0.18258903335217638,0.21519131103587577,50
0.1,0.5,0.95,0.3,0.11003968253968253,0.3447529751172016,0.3782823430617882,50
0.1,0.5,0.95,0.5,0.15634920634920635,0.49441624365482234,0.5192340067340068,50
0.2,0.1,0.8,0.1,0.005753968253968254,0.08275862068965517,0.15096201588877853,30
0.2,0.1,0.8,0.2,0.015833333333333335,0.13784461152882205,0.1875,40
0.2,0.1,0.8,0.3,0.023333333333333334,0.272108843537415,0.32886126859295417,45
0.2,0.1,0.8,0.5,0.03301587301587302,0.4362980769230769,0.49720343421921614,46
0.2,0.1,0.9,0.1,0.005634920634920635,0.08450704225352113,0.15504544239508153,30
0.2,0.1,0.9,0.2,0.015119047619047619,0.14173228346456693,0.1922240025319961,40
0.2,0.1,0.9,0.3,0.0225,0.2786596119929453,0.3382039442039442,45
0.2,0.1,0.9,0.5,0.032103174603174606,0.4437577255871446,0.5079578877005347,46
0.2,0.1,0.95,0.1,0.005595238095238095,0.0851063829787234,0.15556220891550232,30
0.2,0.1,0.95,0.2,0.01496031746031746,0.14058355437665782,0.19444866599121918,40
0.2,0.1,0.95,0.3,0.0223015873015873,0.2793594306049822,0.3423762773609953,45
0.2,0.1,0.95,0.5,0.031746031746031744,0.44375,0.503954678362573,46
0.2,0.2,0.8,0.05,0.002261904761904762,0.10526315789473684,0.21568627450980393,29
0.2,0.2,0.8,0.1,0.015595238095238096,0.0737913486005089,0.10610122220611189,44
0.2,0.2,0.8,0.2,0.04488095238095238,0.16268788682581786,0.1933156163759612,49
0.2,0.2,0.8,0.3,0.06849206349206349,0.30359212050984935,0.3390513774193992,50
0.2,0.2,0.8,0.5,0.09579365079365079,0.4531897265948633,0.4875800593221786,50
0.2,0.2,0.9,0.05,0.0021825396825396826,0.10909090909090909,0.22807017543859648,28
0.2,0.2,0.9,0.1,0.01503968253968254,0.07387862796833773,0.10660044763674133,43
0.2,0.2,0.9,0.2,0.04321428571428571,0.16620752984389348,0.19934562443616696,49
0.2,0.2,0.9,0.3,0.06619047619047619,0.30995203836930457,0.34785344217023073,50
0.2,0.2,0.9,0.5,0.09246031746031746,0.45793991416309016,0.49308638349644335,50
